make,model,year,mileage,condition,price
Audi,Sorento,2006,89555,2,30355.25
Audi,Sorento,2019,78698,5,7244.1
Mercedes,Civic,2014,129450,2,4870.5
Chevrolet,X5,2010,141487,4,13377.65
Nissan,A4,2007,172231,1,13548.45
Kia,Impala,2020,48925,1,37951.75
Hyundai,Sorento,2006,142023,5,18914.85
Hyundai,Sorento,2018,92388,4,6329.6
Audi,Elantra,2022,13007,3,20974.65
Mercedes,Impala,2010,177904,4,1000.0
BMW,Civic,2010,63596,1,10066.2
Ford,F-150,2020,126101,1,1000.0
Ford,Altima,2003,166595,4,2431.25
Audi,Sorento,2007,93861,4,5529.95
BMW,A4,2002,91740,1,1000.0
Audi,Altima,2021,20524,3,1570.8
Ford,Impala,2020,155354,5,1000.0
BMW,Altima,2001,160002,5,1000.0
Chevrolet,X5,2011,136149,4,11172.55
Mercedes,Sorento,2005,130501,5,1000.0
Hyundai,Altima,2001,25611,1,1000.0
Nissan,F-150,2020,153056,1,26276.2
Honda,F-150,2000,19060,4,1000.0
Mercedes,Sorento,2011,48303,4,6693.85
Chevrolet,C-Class,2021,195279,4,14246.05
Ford,F-150,2011,165359,3,1000.0
Chevrolet,Altima,2016,44711,5,42128.45
Audi,Corolla,2009,148026,4,1000.0
BMW,F-150,2015,78340,2,14466.0
Hyundai,Impala,2014,107974,2,1000.0
Kia,C-Class,2014,154646,1,19285.7
Audi,Altima,2018,145256,5,13588.2
Mercedes,Civic,2011,155168,4,1000.0
Audi,Elantra,2022,72728,2,10145.6
Mercedes,Civic,2019,170088,5,13825.6
Kia,X5,2002,16246,1,28096.7
Toyota,Elantra,2004,181630,3,4196.5
Hyundai,X5,2018,154453,5,19041.35
Nissan,Elantra,2006,132796,5,1000.0
Nissan,Elantra,2020,172527,3,1285.65
Honda,Corolla,2008,97263,5,21001.85
Chevrolet,A4,2006,140090,1,1000.0
Toyota,Impala,2017,16302,1,4186.9
Nissan,Civic,2003,72506,3,1321.7
Audi,F-150,2013,46157,4,9378.15
Chevrolet,Altima,2017,59917,2,22308.15
Toyota,C-Class,2008,101646,4,3491.7
BMW,Impala,2020,88122,5,3586.9
BMW,X5,2001,29519,2,20752.05
Chevrolet,Corolla,2019,192891,3,3495.45
Mercedes,X5,2014,85910,3,23859.5
Mercedes,A4,2006,125430,2,27700.5
Audi,C-Class,2011,76324,1,1000.0
Toyota,Corolla,2007,10408,2,2118.6
Toyota,X5,2014,64379,5,26773.05
Chevrolet,A4,2002,30053,1,1000.0
Ford,Altima,2013,145518,3,21422.1
BMW,Altima,2016,136994,2,15607.3
Toyota,X5,2003,103723,4,20621.85
Chevrolet,Impala,2017,56356,4,3009.2
Kia,C-Class,2007,15789,5,28972.55
Honda,Sorento,2003,102720,4,1000.0
Kia,Impala,2001,71656,2,1000.0
Hyundai,Altima,2005,49028,2,3780.6
Audi,C-Class,2021,69484,4,39097.8
Toyota,A4,2009,37154,2,14315.3
Hyundai,Corolla,2003,7336,5,1000.0
